app名称,日期,账户组,转化类型,冻结金额,实际消耗金额,当天消耗金额,总cpm,激励视频cpm,ecpm,报表今日曝光数,报表今日行为数,今日平均行为单价,激活数,激活成本,报表今日深度行为数,报表今日行为转化率,报表今日深度行为转化率,人均激励视频数,预估ltv,助推的预估roi,暗户id
点点穿书,20260402,,激活,2137700,21128,3659.29,132.61,133.77,20.75,202162,67594,0.05,1235,2.96,100,33.44%,0.15%,3.75,0.94,31.88%,
点点穿书,20260402,,关键行为,556000,1384,654.71,175.47,174.1,6.75,78693,676,0.97,160,4.09,15,0.86%,2.22%,2.77,0.98,24.05%,
点点穿书,20260401,,激活,2356200,27684,4254.43,124.76,129.7,16.56,222875,79881,0.05,1332,3.19,125,35.84%,0.16%,3.71,1.11,34.80%,
点点穿书,20260401,,关键行为,730000,1828,713.01,278.86,278.81,5.73,75456,710,1,175,4.07,16,0.94%,2.25%,3.01,1.21,29.67%,
点点穿书,20260331,,激活,2719400,37555,5601.56,170.98,175.08,11.92,409172,87694,0.06,1436,3.9,130,21.43%,0.15%,2.77,1.14,29.25%,
点点穿书,20260331,,关键行为,746000,1138,679.86,114.96,126.93,4.84,76050,418,1.63,118,5.76,17,0.55%,4.07%,3.1,1,17.31%,
点点穿书,20260330,,激活,3165100,57074,10669.37,151.13,157.15,12.08,888075,151375,0.07,2853,3.74,289,17.05%,0.19%,3.03,0.94,25.24%,
点点穿书,20260330,,关键行为,744000,495,611.07,203.65,203.99,2.09,83608,559,1.09,111,5.51,5,0.67%,0.89%,2.23,0.56,10.21%,
点点穿书,20260329,,激活,2960500,53840,28001.41,133.89,137.67,11.64,2566423,394053,0.07,11491,2.44,743,15.35%,0.19%,2.65,0.63,25.67%,
点点穿书,20260328,,激活,2669861,34389,21142.42,150.15,156.03,13.92,1648631,376462,0.06,8781,2.41,598,22.83%,0.16%,2.94,0.76,31.71%,
点点穿书,20260327,,激活,2648500,16453,7079.48,164.65,172.84,16.67,426761,131602,0.05,1868,3.79,187,30.84%,0.14%,3.11,1.35,35.73%,
点点穿书,20260327,,关键行为,8300,979,89.34,,,7.73,10618,71,1.26,7,12.76,1,0.67%,1.41%,0,-0.03,-0.20%,
