,app名称,日期,星广任务id,星广任务名称,达人id,达人名称,服务商id,服务商名称,素材id,视频id,安卓基建计划数,ios基建计划数,素材横竖版,视频播放url,视频标题,视频发布时间,视频审核状态,视频状态,是否低效素材,当日安卓基建计划数,当日ios基建计划数,视频总数量,上新视频数量,累计素材消耗_不含当日,当日消耗,回旋视频url,是否本周新增达人
FALSE,"点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_微信,点点穿书_抖音,点点穿书,点点穿书-ios,点点穿书_抖音,点点穿书,点点穿书_抖音",2026-04-10至2026-04-16,,,,,"	1781960925669515",重庆推小果,,,,,,,,,,,,19752,6809,4530,68,3214565.82,8242.32,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1793924952612874",深圳市东信时代信息技术有限公司,,,,,,,,,,,,1,5,381,0,209266.67,19.78,,
FALSE,点点穿书,2026-04-10至2026-04-16,,,,,"	1792656531398795",优矩-星广联投,,,,,,,,,,,,0,0,10,0,133.7,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1822025211232905",恒宇卓越,,,,,,,,,,,,0,0,36,0,101.43,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1792853079575626",九天云动（杭州）广告有限公司,,,,,,,,,,,,0,0,10,0,0,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1825007606764553",上海新数网络科技股份有限公司,,,,,,,,,,,,0,0,403,0,42177.17,0,,
FALSE,"点点穿书,点点穿书,点点穿书-ios,点点穿书,点点穿书-ios,点点穿书_抖音,点点穿书-ios",2026-04-10至2026-04-16,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1787241089022116",上海芦鸣网络科技有限公司,,,,,,,,,,,,0,0,90,0,60.76,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1785695795194889",享悦荟,,,,,,,,,,,,0,0,5,0,0,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1784503985099020",九麓天成,,,,,,,,,,,,0,0,38,0,491.61,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1783864529223683",铂耀,,,,,,,,,,,,0,0,159,0,16385.04,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1831348599628873","Mamba Studio",,,,,,,,,,,,0,0,134,0,1035.58,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1783898542559235",北京铵豪网络科技有限公司,,,,,,,,,,,,0,0,33,0,3893.12,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1758507966214155",北京深海藏广告传媒有限公司,,,,,,,,,,,,0,0,4,0,80.99,0,,
FALSE,"点点穿书,点点穿书-ios",2026-04-10至2026-04-16,,,,,"	1831897857008779",星曦互动,,,,,,,,,,,,0,0,35,0,364.14,0,,
