,app名称,日期,平台,达人名称,达人id,星广任务id,素材标签,书名称,素材md5,素材名称,素材id,素材url,ai素材分类,素材投放日期,素材上传日期,素材类型,消耗,投放激活数,ecpm,实际付费率,实际付费成本,付费收入占比,1日roi,3日roi,7日roi,14日roi,30日roi,累计30日roi,次留率,3日留存率,7日留存率,14日留存率,性别分布,年龄分布,男性用户占比,18以上用户占比,视频3秒播放率,点击率,投放激活成本,激活率,注册率,注册成本,关键行为率,关键行为成本,实际付费成本,实际付费率,素材消耗,含素材消耗,含素材1日roi,含素材3日roi,含素材7日roi,含素材14日roi,含素材30日roi
FALSE,点点穿书,20260410至20260416,头条,猛蓄不会出,,"	7580203729057284132","头条,星广,7580203729057284132,猛蓄不会出",总,18326c8219c97ee10bf9f67de87093c4,"《病态沉溺：少将军柔软可妻》 #点点穿书","	7616216845345390607",https://douyin.com/video/7616216793463426338,真人类,2026-03-13,,竖版视频,5907.91,639,10.51,19.25%,48.03,68.39%,29.58%,51.70%,40.29%,0%,0%,53.20%,25.76%,13.24%,8.76%,0%,"男:84,女:507,未知:48","12岁以下:0,12-18岁:113,18-25岁:432,25-40岁:27,40岁以上:3,未知:64",13.15%,72.30%,75.12%,1.38%,9.25,6.65%,25.15%,45.45,22.44%,50.93,48.03,19.25%,,5907.91,29.58%,51.70%,40.29%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"HYYLQZLQZ,种子户过,原始,录屏,自营剧情,头条,自营剧情、新msshdxdqbwgsm,内广过,快手,广点通,聚星,新msshdxdqbwgsm,JB260310孟芫60920,百度,兼职剪辑,seedance,优量汇过,每周新片,燕艳,李强小组,溢价",总,a635a06326df9f9308248bccd50d6acc,260312回三兄弟修罗场,"	7616807164053897222",https://toufang-public.huixuanjiasu.com/pl_video/a6/a635a06326df9f9308248bccd50d6acc.mp4,声优类,2026-03-14,2026-03-13,竖版视频,5813.2,969,13.88,20.02%,29.96,71.06%,39.51%,57.88%,29.43%,0%,0%,54.32%,22.87%,12.09%,5.71%,0%,"男:157,女:759,未知:53","12岁以下:0,12-18岁:142,18-25岁:673,25-40岁:75,40岁以上:11,未知:68",16.20%,78.33%,54.49%,1.18%,6,13.24%,30.21%,29.51,24.39%,36.56,29.96,20.02%,,5813.2,39.51%,57.88%,29.43%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,萍萍我吖,,"	7529734117934039082","头条,星广,7529734117934039082,萍萍我吖",总,7b6e51e24ce55e011a95fd9b93c7ad59,"自己当一把小说女主 #点点穿书 #小说","	7548061264227418112",https://douyin.com/video/7548061245656763708,真人类,2025-09-10,,竖版视频,5733,1274,30.77,8.79%,51.19,62.12%,29.03%,41.67%,48.71%,0%,0%,44.36%,21.05%,9.91%,2.45%,0%,"男:97,女:1127,未知:50","12岁以下:0,12-18岁:296,18-25岁:614,25-40岁:304,40岁以上:10,未知:50",7.61%,72.84%,76.17%,2.01%,4.5,30.58%,10.94%,45.86,9.71%,51.65,51.19,8.79%,,5733,29.03%,41.67%,48.71%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,橙子吖.,,"	7594299601063165994","头条,星广,7594299601063165994,橙子吖.",总,d97e5a9fc47e9f0bb442a9cae72c917c,"是飞升证道还是和他们谈感情！#点点穿书 #她的修仙手札 #文游","	7603767582049796136",https://douyin.com/video/7603767552061999867,解说类,2026-02-08,,竖版视频,5229.79,738,17.01,17.48%,40.54,76.24%,33.36%,58.29%,51.54%,0%,0%,60.29%,27.31%,14.87%,3.81%,0%,"男:307,女:405,未知:26","12岁以下:0,12-18岁:156,18-25岁:510,25-40岁:23,40岁以上:2,未知:47",41.60%,72.49%,44.23%,1.51%,7.09,13.56%,22.26%,37.36,14.63%,56.85,40.54,17.48%,,5229.79,33.36%,58.29%,51.54%,0%,0%
FALSE,点点穿书,20260410至20260416,"快手,百度",,,,"孟芫小组,头条,HYYMYZMYZ,录屏,新dsh,高效模仿,百度,JB240513孟芫30051,快手,原始,小红书,补笔记id,note0008",总,b3ecc28c541d97efa5232c92b0e3633e,251201回三带感带感2,9212407339,http://toufang-public.huixuanjiasu.com/pl_video/b3/b3ecc28c541d97efa5232c92b0e3633e.mp4,声优类,2025-12-04,2025-12-03,竖版视频,4974.6,1496,9.53,7.22%,46.06,41.59%,39.00%,48.95%,25.68%,0%,0%,50.82%,17.82%,7.28%,1.47%,0%,"男:207,女:1237,未知:54","12岁以下:0,12-18岁:585,18-25岁:816,25-40岁:24,40岁以上:9,未知:65",13.84%,56.75%,0.00%,2.49%,3.33,10.08%,30.59%,12.41,14.65%,25.91,46.06,7.22%,,4974.6,39.00%,48.95%,25.68%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"JB260318孟芫61404,头条,自营剧情、新snzwcpljsqzrfyyycf,快手,王竣灏,录屏,新snzwcpljsqzrfyyycf,兼职剪辑,自营剧情,HYYLQZLQZ,百度,李强小组,原始,溢价",总,d06926d571bcafd1ca80722c4823f296,260322回三典狱长#双男主：误成漂亮金丝雀，主人非要夜夜查房,"	7620537066241130534",https://toufang-public.huixuanjiasu.com/pl_video/d0/d06926d571bcafd1ca80722c4823f296.mp4,声优类,2026-03-24,2026-03-23,竖版视频,4432.66,707,12.87,18.53%,33.84,76.48%,40.50%,62.83%,84.07%,0%,0%,60.80%,22.58%,14.01%,7.14%,0%,"男:98,女:573,未知:36","12岁以下:0,12-18岁:125,18-25岁:457,25-40岁:81,40岁以上:2,未知:42",13.86%,76.38%,38.41%,0.77%,6.27,22.67%,22.37%,33.08,14.02%,52.77,33.84,18.53%,,4432.66,40.50%,62.83%,84.07%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,阿雨娱乐,,"	7478976103307116553","头条,星广,7478976103307116553,阿雨娱乐",总,2ef71712d6e6a43f5781377ec597aa3e,"修仙还得是我曾不错！#点点穿书 #修仙人生模拟器","	7517476782221672485",https://douyin.com/video/7517476879353728296,解说类,2025-06-20,,竖版视频,4429.12,704,10.5,13.78%,45.66,62.52%,29.35%,45.81%,52.59%,0%,0%,47.28%,30.65%,14.54%,8.13%,0%,"男:277,女:401,未知:26","12岁以下:0,12-18岁:210,18-25岁:431,25-40岁:22,40岁以上:1,未知:40",39.35%,64.49%,71.64%,1.52%,6.29,9.71%,16.64%,42.59,16.96%,41.78,45.66,13.78%,,4429.12,29.35%,45.81%,52.59%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,仲夏爱吃瓜🍉,,"	7478976103307116553","头条,星广,7478976103307116553,仲夏爱吃瓜🍉",总,f5b30a581a089b2aa68249ec90ea5b33,哇塞，刺激！#点点穿书,"	7497187776883359756",https://douyin.com/video/7497187739186007335,声优类,2025-04-28,,竖版视频,4308.44,936,12.94,11.97%,38.47,67.46%,37.38%,60.36%,73.40%,0%,0%,58.60%,21.26%,10.23%,4.49%,0%,"男:751,女:136,未知:49","12岁以下:0,12-18岁:139,18-25岁:654,25-40岁:81,40岁以上:9,未知:53",80.24%,79.49%,38.40%,1.70%,4.6,14.57%,14.95%,35.03,11.42%,45.83,38.47,11.97%,,4308.44,37.38%,60.36%,73.40%,0%,0%
FALSE,点点穿书_微信,20260410至20260416,广点通,,,,"取名素材,D102,优量汇过,录屏,头条,新wxbwggwqnyfkcal,快手,JB250114刘宇42333,通用十六,LYYWSRWSR,百度,广点通,原始,内广过,程序自动复制,种子户过",总,35b1fe6e8a8bb8b8a94df82f4af07d54,250116回五貌美明星,32196101920,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/35/35b1fe6e8a8bb8b8a94df82f4af07d54.mp4,营销号类,2025-03-30,2025-01-16,竖版视频,4304.87,5241,18.33,2.63%,31.19,94.51%,17.95%,37.67%,31.82%,0%,0%,41.34%,12.13%,5.49%,1.16%,0%,"男:0,女:0,未知:0","12岁以下:0,12-18岁:0,18-25岁:0,25-40岁:0,40岁以上:0,未知:0",0.00%,0.00%,37.00%,3.14%,0.82,68.58%,100.69%,0.85,1.29%,66.23,31.19,2.63%,,4304.87,17.95%,37.67%,31.82%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,旺仔小滑头,,"	7582192822373023807","头条,星广,7582192822373023807,旺仔小滑头",总,a5c755660f6eca74f23b90c004595912,#点点穿书#殿上欢全性向恋爱养成#精美立绘#大馋丫头#二次元外R,"	7592885677744242726",https://douyin.com/video/7592885719421455642,解说类,2026-01-09,,竖版视频,4125.19,841,7.52,8.56%,57.29,46.65%,29.90%,42.77%,15.54%,0%,0%,43.13%,25.38%,11.89%,2.27%,0%,"男:228,女:595,未知:18","12岁以下:0,12-18岁:279,18-25岁:504,25-40岁:26,40岁以上:6,未知:26",27.11%,63.73%,40.67%,2.12%,4.91,6.31%,9.93%,56.51,9.12%,61.57,57.29,8.56%,,4125.19,29.90%,42.77%,15.54%,0%,0%
