,app名称,日期,平台,达人名称,达人id,星广任务id,素材标签,书名称,素材md5,素材名称,素材id,素材url,ai素材分类,素材投放日期,素材上传日期,素材类型,消耗,投放激活数,ecpm,实际付费率,实际付费成本,付费收入占比,1日roi,3日roi,7日roi,14日roi,30日roi,累计30日roi,次留率,3日留存率,7日留存率,14日留存率,性别分布,年龄分布,男性用户占比,18以上用户占比,视频3秒播放率,点击率,投放激活成本,激活率,注册率,注册成本,关键行为率,关键行为成本,实际付费成本,实际付费率,素材消耗,含素材消耗,含素材1日roi,含素材3日roi,含素材7日roi,含素材14日roi,含素材30日roi
FALSE,点点穿书,20260410至20260416,头条,八芭扒叭吧营销号,,"	7478976103307116553","头条,星广,7478976103307116553,八芭扒叭吧营销号",总,0b76158ba703352d5af08d5828f629d5,"关于三个哥哥把我宠上天的故事#点点穿书 #豪门少爷哥哥们太爱我了怎么办 #穿书 #双男主 #耽美","	7517499478683975706",https://douyin.com/video/7517499591564184872,解说类,2025-06-20,,竖版视频,3069.3,560,13.38,8.39%,65.3,39.66%,26.24%,36.65%,33.32%,0%,0%,37.62%,27.60%,13.29%,8.65%,0%,"男:114,女:422,未知:24","12岁以下:0,12-18岁:235,18-25岁:282,25-40岁:9,40岁以上:6,未知:28",20.36%,53.04%,49.59%,1.70%,5.48,12.46%,10.72%,59.03,16.08%,39.35,65.3,8.39%,,3069.3,26.24%,36.65%,33.32%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,"新xhywgjsflzzjw,JB251105孟芫55074,录屏,头条,快手,百度,抖音,新nmxmnqccrs，自营剧情,兼职剪辑,马文政,孟芫小组,HYYMYZMYZ,t5,37137",总,96a1a71e6d78f6fd74649d03b5c315d9,251109回三高冷姐姐1t5,11377140306,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/96/96a1a71e6d78f6fd74649d03b5c315d9.mp4,解说类,2025-11-23,2025-11-21,竖版视频,2816.75,858,2.99,1.63%,201.2,27.71%,24.49%,45.62%,73.43%,0%,0%,46.46%,31.22%,14.46%,6.73%,0%,"男:112,女:715,未知:31","12岁以下:0,12-18岁:525,18-25岁:275,25-40岁:18,40岁以上:7,未知:33",13.05%,34.97%,0.00%,0.51%,3.28,1.57%,125.33%,29.97,0.00%,0,201.2,1.63%,,2816.75,24.49%,45.62%,73.43%,0%,0%
FALSE,点点穿书_微信,20260410至20260416,广点通,,,,"优量汇过,剧情互动,录屏,头条,自动版位过,快手,新nmxmnqccrs,LYYXCCXCC,百度,内广过,JB241008刘宇37533,原始,广点通,程序自动复制,D101,种子户过",总,1a9d9986239d0b76649f1e3179ce782b,241213回五十分恶毒,19127508878,http://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/1a/1a9d9986239d0b76649f1e3179ce782b.mp4,声优类,2024-12-15,2024-12-13,竖版视频,2799.09,3450,9.65,2.38%,34.14,97.39%,25.40%,49.29%,116.53%,0%,0%,44.28%,9.46%,4.40%,1.01%,0%,"男:0,女:0,未知:0","12岁以下:0,12-18岁:0,18-25岁:0,25-40岁:0,40岁以上:0,未知:0",0.00%,0.00%,51.82%,3.54%,0.81,33.04%,96.73%,0.85,1.50%,54.88,34.14,2.38%,,2799.09,25.40%,49.29%,116.53%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,,总,80d80ad73ffb0160ff72f008aec7a1d0,AIMax-verticalVideo-9_16-0324-multi_3af158b5ddda4f558b8430422dc2e37b_0_1_4_9166216123_9167315270.mp4,11012971208,http://nadvideo2.baidu.com/80d80ad73ffb0160ff72f008aec7a1d0_720_1280.mp4,,2026-04-04,,竖版视频,2789.06,77,53.13,42.86%,84.52,61.45%,5.51%,7.46%,10.54%,0%,0%,8.30%,28.95%,13.16%,5.56%,0%,"男:16,女:59,未知:6","12岁以下:0,12-18岁:30,18-25岁:39,25-40岁:5,40岁以上:0,未知:6",20.78%,57.14%,0.00%,3.39%,36.22,3.99%,78.87%,49.8,0.00%,0,84.52,42.86%,,2789.06,5.51%,7.46%,10.54%,0%,0%
FALSE,点点穿书,20260410至20260415,头条,♡⃛人间小太☀阳ᰔ,,"	7540281647166717995","头条,星广,7540281647166717995,♡⃛人间小太☀阳ᰔ",总,f6e6e8c2639c3dc043de1c091573969b,#点点穿书#互动小说#小说,"	7620734427222556681",https://douyin.com/video/7620734488288631872,解说类,2026-03-25,,竖版视频,2633.41,273,9.81,16.48%,58.52,77.95%,32.33%,50.15%,58.99%,0%,0%,53.76%,25.64%,15.23%,7.22%,0%,"男:77,女:184,未知:12","12岁以下:0,12-18岁:38,18-25岁:185,25-40岁:34,40岁以上:0,未知:16",28.21%,80.22%,67.78%,1.99%,9.65,4.15%,20.72%,57.25,20.27%,58.52,58.52,16.48%,,2633.41,32.33%,50.15%,58.99%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,雪儿看书,,"	7612952139236933674","头条,星广,7612952139236933674,雪儿看书",总,2141a206a90976cf5c49a420b151846e,"解锁穿书新世界，点点在手好文不愁#点点穿书 #她的修仙手札","	7615433655930781750",https://douyin.com/video/7615433679577337139,营销号类,2026-03-10,,竖版视频,2536.06,332,15.49,11.75%,65.03,66.22%,20.72%,26.63%,20.76%,0%,0%,26.19%,17.07%,9.80%,2.94%,0%,"男:144,女:174,未知:14","12岁以下:0,12-18岁:73,18-25岁:214,25-40岁:26,40岁以上:1,未知:18",43.37%,72.59%,72.58%,1.61%,7.64,10.76%,13.43%,66.74,15.55%,57.64,65.03,11.75%,,2536.06,20.72%,26.63%,20.76%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,,总,30dddbb0f2c8166bbd77f91a5c163ba8,"	7616193735278968873","	7616193735278968873",https://ad.oceanengine.com/pages/video-player-safe/index.html?code=v03033g10000d6p2fpvog65kk1p7gh50,,2026-03-13,,竖版视频,2517.49,414,14.4,9.90%,61.4,55.13%,25.56%,37.52%,23.28%,0%,0%,39.25%,23.40%,10.67%,4.55%,0%,"男:93,女:309,未知:12","12岁以下:0,12-18岁:136,18-25岁:246,25-40岁:15,40岁以上:2,未知:15",22.46%,63.53%,69.90%,2.06%,6.08,6.94%,17.20%,58.55,21.20%,47.5,61.4,9.90%,,2517.49,25.56%,37.52%,23.28%,0%,0%
FALSE,点点穿书,20260410至20260416,"广点通,快手,百度",,,,"快手,新wxbwggwqnyfkcal,通用十六,种子户过,录屏,JB250114刘宇42333,原始,内广过,取名素材,LYYWSRWSR,广点通,优量汇过,百度,头条,D102",总,35b1fe6e8a8bb8b8a94df82f4af07d54,250116回五貌美明星,8679769087,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/35/35b1fe6e8a8bb8b8a94df82f4af07d54.mp4,营销号类,2025-01-17,2025-01-16,竖版视频,2515.84,767,10.39,5.22%,62.9,47.14%,28.29%,46.93%,83.08%,0%,0%,50.79%,22.19%,9.76%,6.25%,0%,"男:66,女:669,未知:33","12岁以下:0,12-18岁:374,18-25岁:333,25-40岁:11,40岁以上:9,未知:41",8.60%,46.02%,0.00%,2.28%,3.28,10.59%,31.62%,13.6,11.11%,38.71,62.9,5.22%,,2515.84,28.29%,46.93%,83.08%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,,总,937c593a54be6f28c9b7f16485ab832d,"	7599940165775884351","	7599940165775884351",https://ad.oceanengine.com/pages/video-player-safe/index.html?code=v03033g10000d5s6imiljht2srfo4j60,,2026-01-27,,竖版视频,2513.16,568,13.1,11.09%,39.89,56.58%,33.74%,54.81%,46.90%,0%,0%,50.18%,27.06%,14.00%,5.36%,0%,"男:138,女:402,未知:28","12岁以下:0,12-18岁:239,18-25岁:281,25-40岁:14,40岁以上:2,未知:32",24.30%,52.29%,65.07%,1.43%,4.42,14.90%,15.61%,39.27,14.15%,43.33,39.89,11.09%,,2513.16,33.74%,54.81%,46.90%,0%,0%
FALSE,点点穿书_微信,20260410至20260416,广点通,,,,"现代娱乐圈,剧情互动,录屏,D1022,种子户过,百度,自动版位过,ZZNLBCLBC,快手,JB241022张祖宁38224,原始,程序自动复制,优量汇过,广点通,头条",总,7335eb78b851cb8082f71a6159581e99,241023回五假戏真做,31737306843,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/73/7335eb78b851cb8082f71a6159581e99.mp4,营销号类,2024-10-24,2024-10-23,竖版视频,2465.38,3063,12.38,2.38%,33.77,95.21%,13.58%,27.05%,52.90%,0%,0%,27.73%,10.78%,5.00%,2.18%,0%,"男:0,女:0,未知:0","12岁以下:0,12-18岁:0,18-25岁:0,25-40岁:0,40岁以上:0,未知:0",0.00%,0.00%,38.86%,5.36%,0.8,27.98%,102.61%,0.8,1.17%,70.44,33.77,2.38%,,2465.38,13.58%,27.05%,52.90%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,"录屏,高效模仿,JB240513孟芫30051,头条,快手,百度,兼职剪辑,潘智峰,孟芫小组,新wzjsfbzsybjsm,HYYMYZMYZ,t5,53650",总,b17a5647acf131a977185cf8d5e06283,251101回三带感共感51t5,7456169756,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/b1/b17a5647acf131a977185cf8d5e06283.mp4,解说类,2026-02-21,2025-11-08,竖版视频,2462.21,901,5,2.77%,98.49,17.96%,37.37%,57.08%,73.97%,0%,0%,59.24%,27.30%,12.51%,6.06%,0%,"男:101,女:761,未知:39","12岁以下:0,12-18岁:421,18-25岁:397,25-40岁:22,40岁以上:7,未知:54",11.21%,47.28%,0.00%,0.87%,2.73,2.19%,136.17%,19.24,0.00%,0,98.49,2.77%,,2462.21,37.37%,57.08%,73.97%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,快手,百度",,,,"快手,广点通,JB240712张力悦33142,D712,自动版位过,玩法介绍,百度1211,vivo屏蔽,优量汇过,oppo屏蔽,现代娱乐圈,内广过,ZLLWSRWSR,跑量,原始,现代娱乐圈 剧情互动,头条,百度,种子户过,录屏,高消耗",总,3082c0375e264a9077c2f8effc7ef7cb,240717回五参加恋综,9212454203,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/30/3082c0375e264a9077c2f8effc7ef7cb.mp4,声优类,2024-07-18,2024-07-17,竖版视频,2458.22,399,18.49,11.28%,54.63,62.76%,32.92%,54.53%,58.50%,0%,0%,52.56%,28.18%,9.30%,8.70%,0%,"男:32,女:345,未知:23","12岁以下:0,12-18岁:102,18-25岁:247,25-40岁:21,40岁以上:4,未知:26",8.02%,68.17%,62.42%,5.16%,6.16,5.20%,14.85%,46.38,15.69%,43.9,54.63,11.28%,,2458.22,32.92%,54.53%,58.50%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"录屏,新bbjqjhwhcltc,JB240513孟芫30051,头条,快手,百度,抖音,自营剧情,兼职剪辑,潘智峰,孟芫小组,HYYMYZMYZ,原始",总,bd0cc8975038169494ce1949be9ae9cc,250812回三顶顶,"	7537768500435075082",http://toufang-public.huixuanjiasu.com/pl_video/bd/bd0cc8975038169494ce1949be9ae9cc.mp4,营销号类,2025-08-13,2025-08-12,竖版视频,2327.76,303,10.34,10.23%,75.09,58.16%,18.05%,30.87%,35.39%,0%,0%,31.72%,27.05%,14.23%,5.74%,0%,"男:74,女:215,未知:14","12岁以下:0,12-18岁:77,18-25岁:191,25-40岁:15,40岁以上:3,未知:17",24.42%,68.98%,68.43%,1.09%,7.68,10.56%,12.74%,70.54,16.60%,54.13,75.09,10.23%,,2327.76,18.05%,30.87%,35.39%,0%,0%
FALSE,点点穿书,20260410至20260416,"小红书,百度",,,,"星广扒,xg扒,快手,百度,b站,小红书,note0011",总,4faabcd633a011cc8179da545348e3f3,260122星广1769062820,9313391728,https://toufang-public.huixuanjiasu.com/pl_video/4f/4faabcd633a011cc8179da545348e3f3.mp4,,,2026-01-22,竖版视频,2197.52,250,27.73,8.40%,104.64,41.11%,14.06%,20.53%,33.21%,0%,0%,21.39%,22.09%,12.50%,6.45%,0%,"男:50,女:180,未知:25","12岁以下:0,12-18岁:102,18-25岁:115,25-40岁:9,40岁以上:8,未知:25",20.00%,52.80%,0.00%,1.86%,8.79,3.67%,87.04%,46.76,0.00%,0,104.64,8.40%,,2197.52,14.06%,20.53%,33.21%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,芒着摸娱🥭,,"	7594299601063165994","头条,星广,7594299601063165994,芒着摸娱🥭",总,5168f0375487cc378aa4db4bcccf065e,"自由度和沉浸感拉满了#点点穿书 #多线剧情","	7606250054202834944",https://douyin.com/video/7606250019516581083,氛围混剪类,2026-02-21,,竖版视频,2149.91,253,5.71,19.76%,43,68.17%,31.86%,42.89%,30.47%,0%,0%,43.50%,28.57%,17.14%,4.17%,0%,"男:84,女:157,未知:12","12岁以下:0,12-18岁:54,18-25岁:177,25-40岁:4,40岁以上:2,未知:16",33.20%,72.33%,45.98%,1.45%,8.5,3.90%,24.88%,40.56,20.66%,48.86,43,19.76%,,2149.91,31.86%,42.89%,30.47%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,,总,d9470cd0e2e09951c7dc8b34b8db1ef4,AIMax-verticalVideo-9_16-0324-multi_9a5c6f5f3dae476ba049a633e63860c1_0_1_6_7_8_5_9_9166103257_9166195334.mp4,11012937552,http://nadvideo2.baidu.com/d9470cd0e2e09951c7dc8b34b8db1ef4_720_1280.mp4,,2026-04-04,,竖版视频,2139.19,112,97.33,25.89%,73.77,55.31%,11.29%,18.19%,14.87%,0%,0%,18.69%,30.36%,16.67%,7.69%,0%,"男:28,女:81,未知:6","12岁以下:0,12-18岁:50,18-25岁:53,25-40岁:5,40岁以上:1,未知:9",25.00%,52.68%,0.00%,3.46%,19.1,7.36%,98.21%,38.89,0.00%,0,73.77,25.89%,,2139.19,11.29%,18.19%,14.87%,0%,0%
FALSE,点点穿书,20260410至20260415,头条,ヤ⒄依纞╄→伱,,"	7540281647166717995","头条,星广,7540281647166717995,ヤ⒄依纞╄→伱",总,8da3a3d91eb68cdcf46292fc1b137533,#点点穿书#互动小说#小说,"	7621828691597967375",https://douyin.com/video/7621828677261130082,声优类,2026-03-30,,竖版视频,2089.25,474,18.38,8.44%,52.23,70.48%,24.69%,44.51%,15.87%,0%,0%,44.47%,19.20%,8.29%,6.00%,0%,"男:364,女:84,未知:26","12岁以下:0,12-18岁:126,18-25岁:280,25-40岁:35,40岁以上:2,未知:31",76.79%,66.88%,44.44%,0.89%,4.41,39.39%,11.28%,46.43,11.78%,44.45,52.23,8.44%,,2089.25,24.69%,44.51%,15.87%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,,总,33c4039b80e697d95865b68a3753dddf,AIMax-verticalVideo-9_16-0324-2d07185a193d4.mp4,11012861409,http://nadvideo2.baidu.com/33c4039b80e697d95865b68a3753dddf_720_1280.mp4,,2026-03-25,,竖版视频,1886.4,91,48.38,24.18%,85.75,47.33%,11.32%,16.02%,21.94%,0%,0%,16.38%,27.38%,11.90%,5.56%,0%,"男:21,女:68,未知:6","12岁以下:0,12-18岁:35,18-25岁:48,25-40岁:2,40岁以上:2,未知:8",23.08%,57.14%,0.00%,2.41%,20.73,4.69%,106.82%,40.14,0.00%,0,85.75,24.18%,,1886.4,11.32%,16.02%,21.94%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,自娱自乐爱叭叭,,"	7478976103307116553","头条,星广,7478976103307116553,自娱自乐爱叭叭",总,6fb4b10f8c8bab2fabe7be41962b0b63,"我们只是谈了一场很远很远的异地恋 #点点穿书 #季暮舟 #二次元 #乙游 #虚拟","	7485589417533620233",https://douyin.com/video/7485589292379606330,解说类,,,竖版视频,1848.71,213,125.75,18.31%,47.4,70.38%,28.37%,54.15%,-18.00%,0%,0%,45.09%,34.27%,23.68%,0.00%,0%,"男:66,女:138,未知:9","12岁以下:0,12-18岁:48,18-25岁:147,25-40岁:8,40岁以上:0,未知:10",30.99%,72.77%,0.06%,3.80%,8.68,33.63%,21.28%,46.22,12.77%,77.03,47.4,18.31%,,1848.71,28.37%,54.15%,-18.00%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,做动画好烦,,"	7582192822373023807","头条,星广,7582192822373023807,做动画好烦",总,441e43f223b3824cfcced1e4b08970b9,"#反派沦陷后：我被病娇们囚宠了#点点穿书#多男主#文游#精美立绘 外R","	7591814332854665242",https://douyin.com/video/7591814329184406784,解说类,2026-01-06,,竖版视频,1783.05,434,18.14,10.37%,39.62,60.31%,32.59%,63.01%,49.73%,0%,0%,51.05%,26.69%,12.02%,13.33%,0%,"男:75,女:342,未知:17","12岁以下:0,12-18岁:176,18-25岁:213,25-40岁:19,40岁以上:8,未知:18",17.28%,55.30%,62.62%,2.15%,4.11,16.78%,13.52%,37.15,13.52%,37.15,39.62,10.37%,,1783.05,32.59%,63.01%,49.73%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,,总,93f9c5565a48545510fad669e71b9c1a,"	7600969208369610778","	7600969208369610778",https://ad.oceanengine.com/pages/video-player-safe/index.html?code=v02033g10000d5u12j2ljhtaed9vutq0,,2026-01-30,,竖版视频,1726.75,410,19.63,7.32%,57.56,45.38%,21.56%,39.50%,45.26%,0%,0%,35.52%,24.37%,11.43%,7.41%,0%,"男:78,女:310,未知:22","12岁以下:0,12-18岁:163,18-25岁:207,25-40岁:9,40岁以上:4,未知:27",19.02%,53.66%,33.61%,4.62%,4.21,6.22%,11.46%,59.54,12.25%,55.7,57.56,7.32%,,1726.75,21.56%,39.50%,45.26%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"1016快手跑量,录屏,yy2182,0912广点通,自动版位过,D122,原始,头条,快手跑量1017,储备,百度,JB240122刘宇24530,广点通,LYYXCCXCC,快手,yy1022,高消耗,剧情互动,新gdmnq",总,802af54bdfb472f6d6698b2b3a4a3f3a,240123回五九五之尊,"	7333576024248336393",http://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/80/802af54bdfb472f6d6698b2b3a4a3f3a.mp4,声优类,2024-02-10,2024-02-09,竖版视频,1676.39,186,14.47,18.82%,47.9,91.46%,101.41%,117.17%,14.40%,0%,0%,129.38%,27.91%,10.87%,10.00%,0%,"男:27,女:152,未知:7","12岁以下:0,12-18岁:30,18-25岁:130,25-40岁:17,40岁以上:1,未知:8",14.52%,79.57%,52.18%,1.26%,9.01,9.72%,22.54%,52.39,16.90%,69.85,47.9,18.82%,,1676.39,101.41%,117.17%,14.40%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,小羊营销号（求十万粉）,,"	7567354233784221759","头条,星广,7567354233784221759,小羊营销号（求十万粉）",总,28cbc5c8627bcd6b246e169f87b3e9aa,"有钱人咋不装电梯呀！ #点点穿书","	7578527011750576128",https://douyin.com/video/7578526650023857442,解说类,2025-12-02,,竖版视频,1676.29,169,19.08,28.99%,34.21,74.57%,31.17%,38.74%,45.59%,0%,0%,41.57%,15.15%,7.88%,7.55%,0%,"男:25,女:135,未知:9","12岁以下:0,12-18岁:25,18-25岁:112,25-40岁:18,40岁以上:0,未知:14",14.79%,76.92%,80.52%,1.82%,9.92,8.13%,38.46%,33.53,20.00%,64.47,34.21,28.99%,,1676.29,31.17%,38.74%,45.59%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,八芭扒叭吧营销号,,"	7494538111352356891","头条,星广,7494538111352356891,八芭扒叭吧营销号",总,ec079a19724b5c31f2193bd0bbb6b5ec,百合向太香了#点点穿书#双女主恶毒女配总想掰弯我#百合,"	7519061727486394383",https://douyin.com/video/7519061686180629812,解说类,2025-06-24,,竖版视频,1671.3,174,17.33,21.84%,43.98,77.04%,22.96%,67.67%,67.85%,0%,0%,34.53%,29.03%,17.95%,0.00%,0%,"男:64,女:103,未知:7","12岁以下:0,12-18岁:18,18-25岁:130,25-40岁:15,40岁以上:2,未知:9",36.78%,84.48%,70.02%,1.08%,9.61,13.87%,29.86%,38.87,20.14%,57.63,43.98,21.84%,,1671.3,22.96%,67.67%,67.85%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,小红书,快手,百度",,,,"李强小组,头条,李行,兼职剪辑,快手,复刻素材,李文青,JB251105孟芫55081,HYYLQZLQZ,录屏,新cwgwsyyhwbfptcl,百度,原始,小红书,补笔记id,note0002",总,56c13f3965c5512599ffa1092a090033,251205回三复刻,8679904926,http://toufang-public.huixuanjiasu.com/pl_video/56/56c13f3965c5512599ffa1092a090033.mp4,解说类,,2025-12-05,竖版视频,1569.94,250,8.76,9.20%,68.26,47.85%,16.50%,26.58%,28.74%,0%,0%,21.55%,23.02%,10.92%,6.98%,0%,"男:47,女:196,未知:8","12岁以下:0,12-18岁:105,18-25岁:124,25-40岁:11,40岁以上:3,未知:8",18.80%,55.20%,56.85%,2.50%,6.28,4.08%,12.02%,71.36,13.11%,65.41,68.26,9.20%,,1569.94,16.50%,26.58%,28.74%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,快手,百度",,,,"快手,广点通,种子户过,新qmzzdzhmslnhszhsr,百度,HYYLQZLQZ,抖音,头条,潘智峰,原始,内广过,聚星,跑量,录屏,优量汇过,JB240513孟芫30051,溢价",总,2be0d5c2e3f5e1cce07c74904bf31c46,250617回三掌握命运,"	7518095217222271012",http://toufang-public.huixuanjiasu.com/pl_video/2b/2be0d5c2e3f5e1cce07c74904bf31c46.mp4,营销号类,2025-06-21,2025-06-20,竖版视频,1566.06,241,11.29,11.62%,55.93,67.78%,28.25%,49.67%,72.49%,0%,0%,50.19%,28.22%,10.34%,3.03%,0%,"男:113,女:120,未知:8","12岁以下:0,12-18岁:65,18-25岁:143,25-40岁:19,40岁以上:2,未知:12",46.89%,68.05%,54.14%,2.21%,6.5,6.72%,15.53%,48.94,14.08%,54,55.93,11.62%,,1566.06,28.25%,49.67%,72.49%,0%,0%
FALSE,点点穿书,20260410至20260416,"快手,百度",,,,"录屏,新cwgwsyyhwbfptcl,剧情素材,JB250627孟芫49171,头条,快手,百度,高效模仿,兼职剪辑,陈佳艺,馨怡小组,新visualnv,HYYDXYDXY,原始",总,f24bbe3a4585523159f991558fb8bbe0,20250706回三蛇蛇2（营销号2）,8679964261,http://toufang-public.huixuanjiasu.com/pl_video/f2/f24bbe3a4585523159f991558fb8bbe0.mp4,解说类,2025-07-09,2025-07-08,竖版视频,1558.51,203,1.84,11.33%,67.76,61.52%,12.33%,19.56%,13.68%,0%,0%,20.80%,26.29%,14.36%,3.70%,0%,"男:46,女:151,未知:7","12岁以下:0,12-18岁:97,18-25岁:89,25-40岁:6,40岁以上:1,未知:12",22.66%,47.29%,0.00%,0.46%,7.68,1.54%,95.00%,27.34,3.33%,779.25,67.76,11.33%,,1558.51,12.33%,19.56%,13.68%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,,总,f03504eab56f7d6bf4c61f97e0a1e07f,AIMax-verticalVideo-9_16-0327-8b5178f8bde34.mp4,11140124963,http://nadvideo2.baidu.com/f03504eab56f7d6bf4c61f97e0a1e07f_720_1280.mp4,,2026-04-04,,竖版视频,1509.11,222,64.82,4.50%,150.91,21.55%,27.82%,45.73%,51.68%,0%,0%,40.57%,29.63%,15.88%,0.00%,0%,"男:49,女:159,未知:14","12岁以下:0,12-18岁:78,18-25岁:115,25-40岁:10,40岁以上:6,未知:13",22.07%,59.01%,0.00%,2.63%,6.8,5.56%,91.18%,48.68,0.00%,0,150.91,4.50%,,1509.11,27.82%,45.73%,51.68%,0%,0%
FALSE,点点穿书,20260410至20260416,百度,,,,"星广扒,xg扒,头条,快手,百度,b站,t5,自动特效,星广低效,53650",总,06181ab5a06aefba1876b2e4da8b2370,251210星广17653704241t5,8006846656,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/06/06181ab5a06aefba1876b2e4da8b2370.mp4,解说类,2026-04-04,2025-12-10,竖版视频,1502.91,1026,1.93,1.56%,93.93,19.36%,42.94%,69.50%,101.47%,0%,0%,74.16%,28.90%,11.03%,3.50%,0%,"男:203,女:790,未知:33","12岁以下:0,12-18岁:607,18-25岁:354,25-40岁:16,40岁以上:7,未知:42",19.79%,36.74%,0.00%,0.60%,1.46,1.28%,166.67%,15.03,0.00%,0,93.93,1.56%,,1502.91,42.94%,69.50%,101.47%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"自营剧情、新csfpphxgzn,新visualnv,原始,录屏,头条,李强小组,兼职剪辑,快手,燕艳,JB260126孟芫59437,百度,HYYLQZLQZ,广点通,每周新片,自动版位过,自营混,溢价",总,b8d846db9f2aeb489c697d50eb08e3aa,260215回三犹豫一下,"	7607883621866274867",https://toufang-public.huixuanjiasu.com/pl_video/b8/b8d846db9f2aeb489c697d50eb08e3aa.mp4,声优类,2026-02-18,2026-02-17,竖版视频,1494.16,298,21.97,9.73%,51.52,45.39%,26.71%,48.90%,31.42%,0%,0%,44.69%,30.61%,21.63%,0.00%,0%,"男:44,女:242,未知:12","12岁以下:0,12-18岁:110,18-25岁:163,25-40岁:8,40岁以上:2,未知:15",14.77%,58.05%,2.75%,4.22%,5.01,8.82%,14.62%,40.38,20.55%,28.73,51.52,9.73%,,1494.16,26.71%,48.90%,31.42%,0%,0%
FALSE,点点穿书,20260411至20260416,百度,,,,,总,75e9ee4c9027587605425df78c6f9bf6,AIMax-verticalVideo-9_16-0322-6d42e6e7-98ab-4dc5-a8f9-991dbf209d19_0_4_5_6_7_8_7318186655.mp4,10970457707,http://nadvideo2.baidu.com/75e9ee4c9027587605425df78c6f9bf6_720_1280.mp4,,2026-03-25,,竖版视频,1489.48,70,73.23,5.71%,372.37,29.23%,10.96%,19.51%,0%,0%,0%,16.86%,29.03%,12.50%,0%,0%,"男:13,女:53,未知:6","12岁以下:0,12-18岁:24,18-25岁:39,25-40岁:5,40岁以上:1,未知:5",18.57%,64.29%,0.00%,2.56%,21.28,6.33%,93.94%,48.05,0.00%,0,372.37,5.71%,,1489.48,10.96%,19.51%,0%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,德福,,"	7582192822373023807","头条,星广,7582192822373023807,德福",总,5bef14efc2f3e32ffcd3e5c0321821e2,"重新定义看小说的体验#点点穿书 #末日生存 #穿书","	7589572542170120192",https://douyin.com/video/7589572493762294954,真人类,2025-12-30,,竖版视频,1487.76,233,32.74,14.59%,43.76,75.32%,46.94%,56.43%,135.62%,0%,0%,66.30%,26.20%,10.14%,5.56%,0%,"男:172,女:50,未知:11","12岁以下:0,12-18岁:29,18-25岁:119,25-40岁:66,40岁以上:7,未知:12",73.82%,82.40%,68.94%,3.26%,6.39,13.73%,17.73%,41.33,13.79%,53.13,43.76,14.59%,,1487.76,46.94%,56.43%,135.62%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,营销号罐罐,,"	7529734117934039082","头条,星广,7529734117934039082,营销号罐罐",总,8eb95436c7618c5915617e9412f37e6b,咱也是体验上顶流的生活了#点点穿书#娱乐圈模拟器：星光闪耀#娱乐圈模拟器,"	7574107092317257782",https://douyin.com/video/7574107101820187067,营销号类,2025-11-20,,竖版视频,1485.14,178,15.65,17.98%,46.41,68.76%,18.48%,27.06%,18.84%,0%,0%,24.42%,25.30%,7.89%,2.94%,0%,"男:27,女:142,未知:9","12岁以下:0,12-18岁:37,18-25岁:115,25-40岁:14,40岁以上:0,未知:12",15.17%,72.47%,68.23%,2.73%,8.34,5.83%,21.19%,46.41,15.23%,64.57,46.41,17.98%,,1485.14,18.48%,27.06%,18.84%,0%,0%
