app名称,日期,账户组,转化类型,冻结金额,实际消耗金额,当天消耗金额,总cpm,激励视频cpm,ecpm,报表今日曝光数,报表今日行为数,今日平均行为单价,激活数,激活成本,报表今日深度行为数,报表今日行为转化率,报表今日深度行为转化率,人均激励视频数,预估ltv,助推的预估roi,暗户id
点点穿书,20260409,,激活,1085800,4474,824.96,174.56,187.17,3.75,159851,897,0.92,265,3.11,9,0.56%,1.00%,2.23,0.52,16.80%,
点点穿书,20260409,,关键行为,370000,548,614.8,248.86,249.05,2.34,95914,631,0.97,150,4.1,7,0.66%,1.11%,1.57,0.91,22.09%,
点点穿书,20260408,,激活,1093800,4423,941.88,148.54,148.92,3.39,168247,993,0.95,273,3.45,15,0.59%,1.51%,2.71,0.55,15.88%,
点点穿书,20260407,,激活,1168100,5693,1291.18,129.58,131.23,3.59,206910,1434,0.9,373,3.46,21,0.69%,1.46%,3.18,0.76,21.91%,
点点穿书,20260407,,关键行为,2100,245,0.07,,,7.24,21,0,0,0,,0,0.00%,,,,0.00%,
点点穿书,20260406,,激活,1208400,7214,1942.42,158.02,158.41,3.95,447445,3668,0.53,890,2.18,46,0.82%,1.25%,3.66,0.74,33.75%,
点点穿书,20260406,,关键行为,16500,2349,1029.42,220.75,222.8,5.39,135461,1323,0.78,346,2.98,23,0.98%,1.74%,2.36,0.73,24.52%,
点点穿书,20260405,,激活,1407900,5643,2610.88,172.99,174.05,3.51,706487,4851,0.54,1031,2.53,57,0.69%,1.18%,3.84,0.88,34.61%,
点点穿书,20260405,,关键行为,20400,1619,760.23,221.41,221.42,5.05,142846,1186,0.64,302,2.52,15,0.83%,1.26%,2.91,0.82,32.57%,
点点穿书,20260404,,激活,1468700,4677,2517.97,138.47,139.88,3.53,563414,3584,0.7,1116,2.26,51,0.64%,1.42%,3.98,0.85,37.74%,
点点穿书,20260404,,关键行为,552000,1965,715.77,174.48,174.67,5.34,124119,1094,0.65,278,2.57,9,0.88%,0.82%,2.66,0.64,25.00%,
点点穿书,20260403,,激活,2016900,20175,2821.63,140.45,146.38,16.7,338671,21491,0.13,1038,2.72,75,6.35%,0.35%,3.51,0.8,29.37%,
点点穿书,20260403,,关键行为,604000,2046,699.77,193.85,192.15,7.19,89174,767,0.91,204,3.43,22,0.86%,2.87%,2.34,1.17,34.16%,
