日期,时间,app名称,投放渠道,账户组,账户组备注,二代,关键行为数,消耗,人均激励视频数,激励视频cpm,当日实际付费率,转化成本,激活成本,当日实际付费收入占比,次留率,3日留存率,7日留存率,修复真实7日roi_规则赔付,修复真实14日roi_规则赔付,修复真实30日roi_规则赔付,修复真实60日roi_规则赔付,账户id,计划id,当前平均出价,回旋商品名称,曝光数,曝光激活转化率,曝光注册转化率,曝光关键行为转化率,点击数,曝光点击转化率,千次展示成本,点击成本,点击转化率,激活数,点击激活转化率,回传激活数,当日回传激活数,回传激活率,回传激活成本,归因回传激活数,归因回传激活成本,重置激活率,注册数,注册率,注册成本,关键行为率,关键行为成本,归因关键行为数,归因关键行为成本,归因关键行为率2日内,重置激活归因关键行为率2日内,归因关键行为数2日内,平均实际付费收入,实际付费用户人均付费收入,预估ltv,预估roi,预估赔付roi,预估返点roi,稳定后预估roi,平均预估广告总收入,平均总收入,1日ltv,1日roi,3日ltv,3日roi,7日ltv,7日roi,10日ltv,10日roi,14日ltv,14日roi,30日roi,45日roi,60日roi,75日roi,90日roi,返点1日roi,返点3日roi,返点7日roi,返点10日roi,返点14日roi,修复真实3日roi_规则赔付,修复真实10日roi_规则赔付,修复真实45日roi_规则赔付,修复真实75日roi_规则赔付,修复真实90日roi_规则赔付,当日平均使用时长_分钟,次日留存成本,4日留存率,5日留存率,6日留存率,14日留存率,30日留存率,45日留存率,60日留存率,75日留存率,90日留存率,激活数性别分布,激活数年龄分布,新建计划数,有在投计划账户数,7日内回传付费单次成本,当日实际付费单次成本,3日内实际付费单次成本,7日内实际付费单次成本,运营负责人,节假日判断,星期,转化类型,修复真实1日roi_规则赔付
20260423,24:00,点点穿书,头条,星广通投11,高价-uba-gogo,,20,2780.85,2.6,261,16.14%,139.04,9.76,76.92%,0%,0%,0%,0%,0%,0%,0%,"	1862597346819082",,89.13,被病娇囚禁后：我混成了团宠,196483,0.15%,0.03%,0.01%,8615,4.38%,14.15,0.32,0.23%,285,3.308%,238,238,83.509%,11.68,235,11.83,18.25%,55,19.30%,50.56,7.02%,139.04,14,198.63,0%,0%,14,2.27,14.04,2.92,29.91%,29.91%,30.36%,46.47%,0.68,2.95,2.92,29.91%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,30.36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.37,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""51.58%"", ""男"": ""43.86%"", ""未知"": ""4.56%""}","{""未知"": ""4.91%"", ""12-18岁"": ""11.58%"", ""18-25岁"": ""64.91%"", ""25-40岁"": ""16.49%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""2.11%""}",2,1,0,34.33,0,0,韩孟伶,工作日,周四,关键行为,33.74%
20260423,24:00,点点穿书,头条,代理通投28,短笛-通投-gogo,,27,1527.15,1.69,382,20.90%,56.56,8.63,85.90%,0%,0%,0%,0%,0%,0%,0%,"	1854381527359752",,54.77,被病娇囚禁后：我混成了团宠,28479,0.62%,0.13%,0.09%,391,1.37%,53.62,3.91,6.91%,177,45.269%,151,151,85.311%,10.11,151,10.11,7.34%,37,20.90%,41.27,15.25%,56.56,27,56.56,0%,0%,27,3.95,18.88,4.57,52.92%,52.92%,52.15%,54.65%,0.65,4.59,4.58,53.05%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,52.28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45.58,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""22.03%"", ""男"": ""72.88%"", ""未知"": ""5.08%""}","{""未知"": ""5.08%"", ""12-18岁"": ""5.08%"", ""18-25岁"": ""58.76%"", ""25-40岁"": ""31.07%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""0.00%""}",0,1,0,15.91,0,0,韩孟伶,工作日,周四,关键行为,58.10%
20260423,24:00,点点穿书,头条,星广通投11,高价-uba-gogo,,10,1259.28,2.07,267,16.06%,125.93,9.19,65.77%,0%,0%,0%,0%,0%,0%,0%,"	1862597347941643",,88.85,被病娇囚禁后：我混成了团宠,95539,0.14%,0.03%,0.01%,5346,5.60%,13.18,0.24,0.19%,137,2.563%,114,114,83.212%,11.05,110,11.45,27.74%,24,17.52%,52.47,7.30%,125.93,4,314.82,0%,0%,4,1.06,6.6,1.58,17.23%,17.23%,17.49%,24.24%,0.55,1.61,1.59,17.29%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,17.55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39.03,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""56.93%"", ""男"": ""39.42%"", ""未知"": ""3.65%""}","{""未知"": ""4.38%"", ""12-18岁"": ""21.90%"", ""18-25岁"": ""60.58%"", ""25-40岁"": ""11.68%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.46%""}",0,1,0,44.97,0,0,韩孟伶,工作日,周四,关键行为,19.51%
20260423,24:00,点点穿书,头条,代理站内41,天擎-番茄-gogo,,16,960.24,3.8,239,13.38%,60.02,6.76,55.51%,0%,0%,0%,0%,0%,0%,0%,"	1860085922081994",,40,被病娇囚禁后：我混成了团宠,6308,2.25%,0.27%,0.25%,334,5.29%,152.23,2.87,4.79%,142,42.515%,126,126,88.732%,7.62,123,7.81,45.77%,17,11.97%,56.48,11.27%,60.02,13,73.86,0%,0%,13,1.13,8.44,2.01,29.70%,29.70%,29.26%,44.56%,0.91,2.04,2.01,29.66%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,29.23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,38.4,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""71.13%"", ""男"": ""26.76%"", ""未知"": ""2.11%""}","{""未知"": ""3.52%"", ""12-18岁"": ""22.54%"", ""18-25岁"": ""66.90%"", ""25-40岁"": ""5.63%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.41%""}",0,1,0,25.95,0,0,韩孟伶,工作日,周四,关键行为,32.50%
20260423,24:00,点点穿书,头条,代理通投52,短笛-每日留存（极限测）-gogo,,12,913.53,2.98,185,2.58%,45.68,3.92,25.51%,0%,0%,0%,0%,0%,0%,0%,"	1854381513125892",,23.75,被病娇囚禁后：我混成了团宠,103902,0.22%,0.01%,0.01%,1996,1.92%,8.79,0.46,1.00%,233,11.673%,20,20,8.584%,45.68,19,48.08,12.02%,6,2.58%,152.26,5.15%,76.13,11,83.05,0%,0%,11,0.19,7.32,0.71,18.16%,18.16%,17.90%,34.81%,0.55,0.74,0.72,18.24%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,17.97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,35.19,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""48.50%"", ""男"": ""44.64%"", ""未知"": ""6.87%""}","{""未知"": ""6.87%"", ""12-18岁"": ""23.61%"", ""18-25岁"": ""47.64%"", ""25-40岁"": ""18.45%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""3.43%""}",0,1,0,83.05,0,0,韩孟伶,工作日,周四,激活且每日留存,19.97%
20260423,24:00,点点穿书,头条,星广通投11,高价-uba-gogo,,9,846.92,2.85,204,20.21%,94.1,9.01,78.74%,0%,0%,0%,0%,0%,0%,0%,"	1862597347473803",,89.17,被病娇囚禁后：我混成了团宠,94492,0.10%,0.02%,0.01%,1021,1.08%,8.96,0.83,0.88%,94,9.207%,83,83,88.298%,10.2,79,10.72,18.09%,21,22.34%,40.33,9.57%,94.1,5,169.38,0%,0%,5,2.16,10.67,2.71,30.11%,30.11%,30.56%,31.67%,0.58,2.74,2.72,30.16%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,30.61%,0%,0%,0%,0%,0%,0%,0%,0%,0%,42.14,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""59.57%"", ""男"": ""37.23%"", ""未知"": ""3.19%""}","{""未知"": ""4.26%"", ""12-18岁"": ""12.77%"", ""18-25岁"": ""67.02%"", ""25-40岁"": ""14.89%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.06%""}",1,1,0,25.66,0,0,韩孟伶,工作日,周四,关键行为,34.02%
20260423,24:00,点点穿书,头条,代理通投77,短笛-uba高价-gogo,,14,714.04,6.49,241,20.00%,51,7.14,65.90%,0%,0%,0%,0%,0%,0%,0%,"	1862597309928852",,69.05,被病娇囚禁后：我混成了团宠,49342,0.20%,0.04%,0.03%,641,1.30%,14.47,1.11,2.18%,100,15.601%,96,96,96.000%,7.44,90,7.93,12.00%,21,21.00%,34,14.00%,51,12,59.5,0%,0%,12,3.02,15.12,4.56,63.88%,63.88%,62.95%,47.16%,1.56,4.59,4.57,63.98%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,63.05%,0%,0%,0%,0%,0%,0%,0%,0%,0%,62.66,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""24.00%"", ""男"": ""70.00%"", ""未知"": ""6.00%""}","{""未知"": ""6.00%"", ""12-18岁"": ""7.00%"", ""18-25岁"": ""65.00%"", ""25-40岁"": ""21.00%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.00%""}",0,1,0,16.61,0,0,韩孟伶,工作日,周四,关键行为,70.07%
20260423,24:00,点点穿书,头条,代理通投75,泰格-高价-gogo,,12,586.68,6.11,292,8.26%,48.89,5.38,33.62%,0%,0%,0%,0%,0%,0%,0%,"	1854367663442956",,61.92,,5717,1.91%,0.17%,0.21%,583,10.20%,102.62,1.01,2.06%,109,18.696%,93,93,85.321%,6.31,91,6.45,34.86%,10,9.17%,58.67,11.01%,48.89,9,65.19,0%,0%,9,0.9,10.93,2.66,49.40%,49.40%,49.40%,39.16%,1.78,2.69,2.67,49.62%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,49.62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,43.54,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""84.40%"", ""男"": ""14.68%"", ""未知"": ""0.92%""}","{""未知"": ""3.67%"", ""12-18岁"": ""37.61%"", ""18-25岁"": ""57.80%"", ""25-40岁"": ""0.92%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""0.00%""}",0,1,0,23.47,0,0,韩孟伶,工作日,周四,关键行为,55.15%
20260423,24:00,点点穿书-ios,头条,星广站内42,站内2-gogo,,9,487.37,1.29,211,22.92%,54.15,10.15,85.78%,0%,0%,0%,0%,0%,0%,0%,"	1854640989485129",,75,被病娇囚禁后：我混成了团宠,10200,0.47%,0.09%,0.09%,184,1.80%,47.78,2.65,4.89%,48,26.087%,43,43,89.583%,11.33,43,11.33,0.00%,9,18.75%,54.15,18.75%,54.15,9,54.15,0%,0%,9,1.64,7.16,1.89,18.57%,18.57%,18.85%,13.41%,0.27,1.91,1.89,18.61%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,18.89%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34.94,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""62.50%"", ""男"": ""37.50%"", ""未知"": ""0.00%""}","{""未知"": ""2.08%"", ""12-18岁"": ""4.17%"", ""18-25岁"": ""66.67%"", ""25-40岁"": ""25.00%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""2.08%""}",2,1,0,25.65,0,0,韩孟伶,工作日,周四,关键行为,35.91%
20260423,24:00,点点穿书,头条,代理通投77,短笛-uba高价-gogo,,6,447.05,0.95,347,12.82%,74.51,5.73,79.65%,0%,0%,0%,0%,0%,0%,0%,"	1862597311074567",,66.01,被病娇囚禁后：我混成了团宠,9335,0.84%,0.11%,0.06%,138,1.48%,47.89,3.24,4.35%,78,56.522%,73,73,93.590%,6.12,70,6.39,3.85%,10,12.82%,44.71,7.69%,74.51,6,74.51,0%,0%,6,1.29,10.04,1.59,27.72%,27.72%,27.32%,31.30%,0.33,1.62,1.6,27.87%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,27.47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,31.18,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""7.69%"", ""男"": ""84.62%"", ""未知"": ""7.69%""}","{""未知"": ""7.69%"", ""12-18岁"": ""3.85%"", ""18-25岁"": ""67.95%"", ""25-40岁"": ""19.23%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.28%""}",0,1,0,24.84,0,0,韩孟伶,工作日,周四,关键行为,30.53%
