app名称,日期,账户组,转化类型,冻结金额,实际消耗金额,当天消耗金额,总cpm,激励视频cpm,ecpm,报表今日曝光数,报表今日行为数,今日平均行为单价,激活数,激活成本,报表今日深度行为数,报表今日行为转化率,报表今日深度行为转化率,人均激励视频数,预估ltv,助推的预估roi,暗户id
点点穿书,20260326,,激活,2060200,14095,4155.72,171.55,172.02,18.86,214278,66649,0.06,871,4.77,107,31.10%,0.16%,3.19,1.25,26.26%,
点点穿书,20260326,,关键行为,14600,1163,327.48,195.5,195.39,9.31,40061,271,1.21,41,7.99,6,0.68%,2.21%,2.66,0.94,11.83%,
点点穿书,20260325,,激活,2566500,13437,4292.21,118.52,122.81,17.04,235638,64659,0.07,866,4.96,111,27.44%,0.17%,4.71,1.49,29.98%,
点点穿书,20260325,,关键行为,26000,2256,627.55,129.92,129.99,9.28,67904,560,1.12,137,4.58,15,0.82%,2.68%,3.35,1.07,23.26%,
点点穿书,20260324,,激活,2410861,14055,3630.83,149.03,154.52,14.72,242693,47583,0.08,731,4.97,90,19.61%,0.19%,4.26,1.29,25.91%,
点点穿书,20260324,,关键行为,26000,1628,666.61,144.98,146.37,9.84,76032,526,1.27,119,5.6,12,0.69%,2.28%,4.06,1.01,18.04%,
点点穿书,20260323,,激活,2319600,22637,4380.01,149.1,167.02,15.61,265632,61155,0.07,907,4.83,108,23.02%,0.18%,4.22,1.34,27.75%,
点点穿书,20260323,,关键行为,30000,1350,631,96.32,108.58,11.72,62525,329,1.92,89,7.09,14,0.53%,4.26%,4.3,1.92,27.08%,
点点穿书,20260322,,激活,2322800,27107,11865.55,142.88,147.8,13.76,863543,155621,0.08,3928,3.02,304,18.02%,0.20%,3.56,0.9,29.76%,
点点穿书,20260322,,关键行为,1070000,2400,972.1,208.34,209.79,10.47,104503,675,1.44,173,5.62,36,0.65%,5.33%,7.04,2.43,43.19%,
点点穿书,20260321,,激活,2429161,17385,9995.41,173.04,177.79,14.79,660274,148929,0.07,3228,3.1,259,22.56%,0.17%,3.73,1.11,35.82%,
点点穿书,20260321,,关键行为,1062000,1325,953.59,166.55,167.1,9.83,118483,906,1.05,217,4.39,36,0.76%,3.97%,3.85,1.55,35.25%,
点点穿书,20260320,,激活,2180898,16042,3861.21,162.33,168.06,10.38,227832,63571,0.06,829,4.66,85,27.90%,0.13%,3.99,1.24,26.53%,
点点穿书,20260320,,关键行为,1026000,577,705.37,185.6,185.5,7.76,90214,620,1.14,165,4.27,20,0.69%,3.23%,2.98,1.45,33.98%,
