日期,时间,app名称,投放渠道,账户组,账户组备注,二代,关键行为数,消耗,人均激励视频数,激励视频cpm,当日实际付费率,转化成本,激活成本,当日实际付费收入占比,次留率,3日留存率,7日留存率,修复真实7日roi_规则赔付,修复真实14日roi_规则赔付,修复真实30日roi_规则赔付,修复真实60日roi_规则赔付,账户id,计划id,当前平均出价,回旋商品名称,曝光数,曝光激活转化率,曝光注册转化率,曝光关键行为转化率,点击数,曝光点击转化率,千次展示成本,点击成本,点击转化率,激活数,点击激活转化率,回传激活数,当日回传激活数,回传激活率,回传激活成本,归因回传激活数,归因回传激活成本,重置激活率,注册数,注册率,注册成本,关键行为率,关键行为成本,归因关键行为数,归因关键行为成本,归因关键行为率2日内,重置激活归因关键行为率2日内,归因关键行为数2日内,平均实际付费收入,实际付费用户人均付费收入,预估ltv,预估roi,预估赔付roi,预估返点roi,稳定后预估roi,平均预估广告总收入,平均总收入,1日ltv,1日roi,3日ltv,3日roi,7日ltv,7日roi,10日ltv,10日roi,14日ltv,14日roi,30日roi,45日roi,60日roi,75日roi,90日roi,返点1日roi,返点3日roi,返点7日roi,返点10日roi,返点14日roi,修复真实3日roi_规则赔付,修复真实10日roi_规则赔付,修复真实45日roi_规则赔付,修复真实75日roi_规则赔付,修复真实90日roi_规则赔付,当日平均使用时长_分钟,次日留存成本,4日留存率,5日留存率,6日留存率,14日留存率,30日留存率,45日留存率,60日留存率,75日留存率,90日留存率,激活数性别分布,激活数年龄分布,新建计划数,有在投计划账户数,7日内回传付费单次成本,当日实际付费单次成本,3日内实际付费单次成本,7日内实际付费单次成本,运营负责人,节假日判断,星期,转化类型,修复真实1日roi_规则赔付
20260416,24:00,点点穿书,头条,星广通投20,新素材-uba-gogo,,37,2420.44,2.45,333,16.82%,65.42,7.4,76.65%,0%,0%,0%,0%,0%,0%,0%,"	1861812242297927",,55,修仙这件小事,134622,0.24%,0.04%,0.03%,1271,0.94%,17.98,1.9,2.91%,327,25.728%,283,283,86.544%,8.55,283,8.55,9.17%,55,16.82%,44.01,11.31%,65.42,35,69.16,0%,0%,35,2.68,15.91,3.47,46.81%,46.81%,47.52%,55.68%,0.82,3.49,3.46,46.81%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,47.51%,0%,0%,0%,0%,0%,0%,0%,0%,0%,42.71,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""14.68%"", ""男"": ""80.12%"", ""未知"": ""5.20%""}","{""未知"": ""5.20%"", ""12-18岁"": ""2.14%"", ""18-25岁"": ""57.19%"", ""25-40岁"": ""32.72%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""2.75%""}",0,1,0,17.93,0,0,韩孟伶,工作日,周四,关键行为,51.21%
20260416,24:00,点点穿书,头条,代理站内41,天擎-番茄-gogo,,26,2419.18,5.15,126,14.53%,93.05,10.34,71.93%,0%,0%,0%,0%,0%,0%,0%,"	1860085922081994",,43.23,被病娇囚禁后：我混成了团宠,14803,1.58%,0.26%,0.18%,619,4.18%,163.42,3.91,4.20%,234,37.803%,212,212,90.598%,11.41,208,11.63,31.62%,38,16.24%,63.66,11.11%,93.05,19,127.33,0%,0%,19,1.67,11.5,2.29,22.20%,22.20%,21.87%,47.78%,0.65,2.32,2.3,22.21%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,21.89%,0%,0%,0%,0%,0%,0%,0%,0%,0%,51.16,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""75.21%"", ""男"": ""22.65%"", ""未知"": ""2.14%""}","{""未知"": ""2.99%"", ""12-18岁"": ""18.80%"", ""18-25岁"": ""71.79%"", ""25-40岁"": ""6.41%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""0.00%""}",0,1,0,39.66,0,0,韩孟伶,工作日,周四,关键行为,23.59%
20260416,24:00,点点穿书,头条,星广通投11,高价-uba-gogo,,1,1324.43,1.44,129,4.13%,1324.43,10.95,53.87%,0%,0%,0%,0%,0%,0%,0%,"	1862597346819082",,120,被病娇囚禁后：我混成了团宠,112364,0.11%,0.00%,0.00%,11599,10.32%,11.79,0.11,0.01%,121,1.043%,79,79,65.289%,16.76,79,16.76,20.66%,5,4.13%,264.89,0.83%,1324.43,1,1324.43,0%,0%,1,0.22,5.25,0.38,3.43%,3.43%,3.48%,37.87%,0.19,0.4,0.38,3.48%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,3.53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.42,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""77.69%"", ""男"": ""12.40%"", ""未知"": ""9.92%""}","{""未知"": ""9.92%"", ""12-18岁"": ""28.10%"", ""18-25岁"": ""52.07%"", ""25-40岁"": ""8.26%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.65%""}",4,1,0,264.89,0,0,韩孟伶,工作日,周四,关键行为,3.81%
20260416,24:00,点点穿书,头条,星广通投46,老任务-LL,,14,1115.27,2.12,353,18.18%,79.66,9.22,72.84%,0%,0%,0%,0%,0%,0%,0%,"	1861066852662791",,52.67,被病娇囚禁后：我混成了团宠,49184,0.25%,0.05%,0.03%,827,1.68%,22.68,1.35,1.69%,121,14.631%,109,109,90.083%,10.23,109,10.23,11.57%,23,19.01%,48.49,11.57%,79.66,13,85.79,0%,0%,13,2,11.02,2.72,29.56%,29.56%,30.01%,0%,0.75,2.75,2.73,29.62%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,30.06%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39.14,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""31.40%"", ""男"": ""66.94%"", ""未知"": ""1.65%""}","{""未知"": ""4.13%"", ""12-18岁"": ""5.79%"", ""18-25岁"": ""67.77%"", ""25-40岁"": ""19.83%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""2.48%""}",0,1,0,32.8,0,0,兰兰,工作日,周四,关键行为,32.40%
20260416,24:00,点点穿书,头条,代理通投52,短笛-每日留存（极限测）-gogo,,27,1098.25,4.11,135,5.28%,28.9,4.46,30.70%,0%,0%,0%,0%,0%,0%,0%,"	1854381513125892",,24.81,被病娇囚禁后：我混成了团宠,149865,0.16%,0.01%,0.02%,2337,1.56%,7.33,0.47,1.63%,246,10.526%,38,38,15.447%,28.9,31,35.43,17.48%,21,8.54%,52.3,10.98%,40.68,17,64.6,0%,0%,17,0.25,4.68,0.78,17.44%,17.44%,17.18%,20.28%,0.56,0.81,0.78,17.39%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,17.13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,38.67,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""50.00%"", ""男"": ""46.34%"", ""未知"": ""3.66%""}","{""未知"": ""4.07%"", ""12-18岁"": ""13.41%"", ""18-25岁"": ""45.93%"", ""25-40岁"": ""31.71%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""4.88%""}",0,1,0,73.22,0,0,韩孟伶,工作日,周四,激活且每日留存,18.47%
20260416,24:00,点点穿书,头条,代理通投28,短笛-通投-gogo,,21,1000,3.78,175,17.71%,47.62,5.71,73.23%,0%,0%,0%,0%,0%,0%,0%,"	1854381527359752",,54.63,被病娇囚禁后：我混成了团宠,48855,0.36%,0.08%,0.04%,475,0.97%,20.47,2.11,4.42%,175,36.842%,161,161,92.000%,6.21,157,6.37,23.43%,37,21.14%,27.03,12.00%,47.62,13,76.92,0%,0%,13,1.81,10.23,2.45,42.83%,42.83%,42.20%,37.30%,0.66,2.47,2.45,42.80%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,42.17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,52.66,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""26.29%"", ""男"": ""69.71%"", ""未知"": ""4.00%""}","{""未知"": ""6.29%"", ""12-18岁"": ""11.43%"", ""18-25岁"": ""65.14%"", ""25-40岁"": ""16.57%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""0.57%""}",0,1,0,20,0,0,韩孟伶,工作日,周四,关键行为,45.46%
20260416,24:00,点点穿书,头条,代理站内16,汇创-站内-gogo,,13,993.28,3.18,206,30.88%,76.41,14.61,86.60%,0%,0%,0%,0%,0%,0%,0%,"	1854983068805124",,60,被病娇囚禁后：我混成了团宠,35639,0.19%,0.06%,0.04%,397,1.11%,27.87,2.5,3.27%,68,17.129%,61,61,89.706%,16.28,61,16.28,19.12%,21,30.88%,47.3,19.12%,76.41,12,82.77,0%,0%,12,4.24,13.73,4.87,33.33%,33.33%,33.16%,42.44%,0.66,4.89,4.87,33.33%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,33.17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.14,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""45.59%"", ""男"": ""50.00%"", ""未知"": ""4.41%""}","{""未知"": ""4.41%"", ""12-18岁"": ""7.35%"", ""18-25岁"": ""55.88%"", ""25-40岁"": ""30.88%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""1.47%""}",0,1,0,29.21,0,0,韩孟伶,工作日,周四,关键行为,35.75%
20260416,24:00,点点穿书,头条,星广通投41,高价-uba-LL,,9,655.27,1.72,290,12.94%,72.81,7.71,79.95%,0%,0%,0%,0%,0%,0%,0%,"	1861066865605703",,56.1,修仙这件小事,34986,0.24%,0.03%,0.03%,364,1.04%,18.73,1.8,2.47%,85,23.352%,75,75,88.235%,8.74,75,8.74,4.71%,11,12.94%,59.57,10.59%,72.81,9,72.81,0%,0%,9,1.99,15.36,2.46,31.91%,31.91%,32.39%,41.98%,0.5,2.49,2.46,31.90%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,32.38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40.94,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""27.06%"", ""男"": ""67.06%"", ""未知"": ""5.88%""}","{""未知"": ""7.06%"", ""12-18岁"": ""3.53%"", ""18-25岁"": ""61.18%"", ""25-40岁"": ""25.88%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""2.35%""}",0,1,0,22.6,0,0,兰兰,工作日,周四,关键行为,34.90%
20260416,24:00,点点穿书,头条,代理通投75,泰格-高价-gogo,,4,585.44,1.8,86,3.55%,146.36,2.97,67.41%,0%,0%,0%,0%,0%,0%,0%,"	1854367452156940",,65,,70461,0.28%,0.01%,0.01%,6685,9.49%,8.31,0.09,0.06%,197,2.947%,83,83,42.132%,7.05,81,7.23,23.86%,7,3.55%,83.63,2.03%,146.36,4,146.36,0%,0%,4,0.32,8.95,0.44,14.96%,14.96%,14.96%,33.68%,0.15,0.47,0.45,15.02%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,15.02%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.25,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""54.82%"", ""男"": ""26.40%"", ""未知"": ""18.78%""}","{""未知"": ""20.30%"", ""12-18岁"": ""6.60%"", ""18-25岁"": ""38.07%"", ""25-40岁"": ""21.32%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""13.71%""}",0,1,0,53.22,0,0,韩孟伶,工作日,周四,关键行为,16.19%
20260416,24:00,点点穿书,头条,星广通投10,高价测试-LL,,0,496.39,0.17,20,16.67%,0,82.73,99.00%,0%,0%,0%,0%,0%,0%,0%,"	1861066874382596",,53.67,被病娇囚禁后：我混成了团宠,21075,0.03%,0.00%,0.00%,254,1.21%,23.55,1.95,0.00%,6,2.362%,4,4,66.667%,124.1,4,124.1,16.67%,1,16.67%,496.39,0.00%,0,0,0,0%,0%,0,0.33,1.99,0.31,0.37%,0.37%,0.38%,0%,0,0.33,0.31,0.37%,0,0%,0,0%,0,0%,0,0%,0%,0%,0%,0%,0%,0.38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.22,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,"{""女"": ""66.67%"", ""男"": ""33.33%"", ""未知"": ""0.00%""}","{""未知"": ""0.00%"", ""12-18岁"": ""50.00%"", ""18-25岁"": ""16.67%"", ""25-40岁"": ""16.67%"", ""12岁以下"": ""0.00%"", ""40岁以上"": ""16.67%""}",8,1,0,496.39,0,0,兰兰,工作日,周四,关键行为,0.41%
