app名称,日期,账户组,转化类型,冻结金额,实际消耗金额,当天消耗金额,总cpm,激励视频cpm,ecpm,报表今日曝光数,报表今日行为数,今日平均行为单价,激活数,激活成本,报表今日深度行为数,报表今日行为转化率,报表今日深度行为转化率,人均激励视频数,预估ltv,助推的预估roi,暗户id
点点穿书,20260416,,激活,1050100,2475,961.67,263.46,268.33,4.22,171743,1395,0.69,300,3.21,17,0.81%,1.22%,1.79,0.73,22.72%,
点点穿书,20260416,,关键行为,4200,1286,102.03,79.47,111.33,6.15,14158,63,1.62,16,6.38,1,0.45%,1.59%,5,0.67,10.49%,
点点穿书,20260415,,激活,924900,2686,958.9,116.27,119.22,3.46,176441,1096,0.87,321,2.99,17,0.62%,1.55%,3.66,0.73,24.30%,
点点穿书,20260415,,关键行为,4200,1183,195.73,115.74,115.97,6.47,26531,121,1.62,61,3.21,7,0.46%,5.79%,7.72,2.23,69.42%,
点点穿书,20260414,,激活,1088800,2779,1041.88,183.68,195.47,3.38,189510,826,1.26,251,4.15,14,0.44%,1.69%,2.43,0.74,17.87%,
点点穿书,20260414,,关键行为,6000,2069,692.83,82.03,83.68,4.48,103917,654,1.06,157,4.41,15,0.63%,2.29%,3.64,1.01,22.82%,
点点穿书,20260413,,关键行为,10000,2105,851.55,195.91,195.42,5.07,110988,733,1.16,221,3.85,15,0.66%,2.05%,1.98,0.59,15.34%,
点点穿书,20260413,,激活,1254400,2065,539.85,186.53,205.54,3.84,86057,432,1.25,153,3.53,4,0.50%,0.93%,1.86,0.5,14.09%,
点点穿书,20260412,,激活,1176600,3789,1288.85,162.63,167.58,3.55,218490,1568,0.82,520,2.48,21,0.72%,1.34%,3.05,0.67,27.21%,
点点穿书,20260412,,关键行为,60000,1471,1056.31,124.34,135.24,5.3,165652,1741,0.61,487,2.17,24,1.05%,1.38%,2.72,0.6,27.51%,
点点穿书,20260411,,激活,1301100,4840,1233.57,165.77,172.47,3.77,245605,1853,0.67,551,2.24,27,0.75%,1.46%,4.05,0.84,37.54%,
点点穿书,20260411,,关键行为,366000,2206,1061.28,147.61,154.07,3.75,156918,2096,0.51,680,1.56,24,1.34%,1.15%,1.97,0.47,30.39%,
点点穿书,20260410,,激活,1244900,4806,1231.19,184.73,187.18,3.55,233959,1743,0.71,410,3,16,0.75%,0.92%,2.63,0.76,25.23%,
点点穿书,20260410,,关键行为,346000,1148,611.74,146.64,180.63,2.88,72014,676,0.9,180,3.4,8,0.94%,1.18%,1.91,0.41,12.14%,
